"Time","L1","L2","L3"
2024-06-05 22:07:00,1.30 K,1.16 K,2.39 K
2024-06-05 22:08:00,2.29 K,2.57 K,2.89 K
2024-06-05 22:09:00,2.40 K,2.65 K,3.04 K
2024-06-05 22:10:00,2.64 K,2.79 K,2.50 K
2024-06-05 22:11:00,1.29 K,1.11 K,1.70 K
2024-06-05 22:12:00,1.86 K,1.73 K,1.96 K
2024-06-05 22:13:00,1.07 K,1.16 K,1.68 K
2024-06-05 22:14:00,1.56 K,1.85 K,1.62 K
2024-06-05 22:15:00,1.68 K,1.90 K,1.69 K
2024-06-05 22:16:00,1.68 K,1.76 K,3.32 K
2024-06-05 22:17:00,1.64 K,1.73 K,1.33 K
2024-06-05 22:18:00,1.66 K,1.79 K,1.31 K
2024-06-05 22:19:00,1.64 K,1.80 K,2.70 K
2024-06-05 22:20:00,1.65 K,1.94 K,1.28 K
2024-06-05 22:21:00,1.56 K,1.90 K,1.41 K
2024-06-05 22:22:00,1.68 K,1.69 K,2.01 K
2024-06-05 22:23:00,1.64 K,1.81 K,1.52 K
2024-06-05 22:24:00,1.65 K,1.76 K,1.87 K
2024-06-05 22:25:00,1.65 K,1.74 K,2.35 K
2024-06-05 22:26:00,1.67 K,1.83 K,2.38 K
2024-06-05 22:27:00,1.65 K,1.73 K,3.04 K
2024-06-05 22:28:00,1.62 K,1.78 K,3.27 K
2024-06-05 22:29:00,1.08 K,1.11 K,1.14 K
2024-06-05 22:30:00,1.08 K,1.11 K,1.72 K
2024-06-05 22:31:00,1.07 K,1.12 K,2.12 K
2024-06-05 22:32:00,1.06 K,1.16 K,640
2024-06-05 22:33:00,1.08 K,1.14 K,1.00 K
2024-06-05 22:34:00,1.07 K,1.18 K,1.75 K
2024-06-05 22:35:00,1.61 K,1.74 K,1.93 K
2024-06-05 22:36:00,1.57 K,1.75 K,1.28 K
2024-06-05 22:37:00,1.66 K,1.80 K,1.94 K
2024-06-05 22:38:00,1.62 K,1.67 K,1.97 K
2024-06-05 22:39:00,1.67 K,2.01 K,2.18 K
2024-06-05 22:40:00,1.74 K,1.99 K,1.97 K
2024-06-05 22:41:00,1.64 K,1.71 K,2.14 K
2024-06-05 22:42:00,1.69 K,1.81 K,2.17 K
2024-06-05 22:43:00,1.32 K,1.11 K,1.31 K
2024-06-05 22:44:00,1.82 K,1.69 K,1.93 K
2024-06-05 22:45:00,1.89 K,1.82 K,1.48 K
2024-06-05 22:46:00,1.84 K,1.77 K,2.53 K
2024-06-05 22:47:00,1.92 K,2.03 K,2.01 K
2024-06-05 22:48:00,1.87 K,1.85 K,1.44 K
2024-06-05 22:49:00,1.89 K,1.89 K,2.48 K
2024-06-05 22:50:00,1.83 K,1.80 K,2.73 K
2024-06-05 22:51:00,1.87 K,1.71 K,2.33 K
2024-06-05 22:52:00,1.87 K,1.94 K,3.36 K
2024-06-05 22:53:00,1.86 K,1.78 K,2.39 K
2024-06-05 22:54:00,1.28 K,1.16 K,1.40 K
2024-06-05 22:55:00,1.31 K,1.12 K,2.62 K
2024-06-05 22:56:00,1.30 K,1.13 K,1.39 K
2024-06-05 22:57:00,1.83 K,1.81 K,1.63 K
2024-06-05 22:58:00,1.82 K,1.75 K,1.66 K
2024-06-05 22:59:00,1.96 K,1.86 K,2.44 K
2024-06-05 23:00:00,1.88 K,1.85 K,2.31 K
2024-06-05 23:01:00,1.84 K,1.72 K,1.64 K
2024-06-05 23:02:00,1.91 K,1.80 K,1.67 K
2024-06-05 23:03:00,1.90 K,1.79 K,2.00 K
2024-06-05 23:04:00,1.83 K,1.83 K,1.22 K
2024-06-05 23:05:00,1.86 K,1.93 K,1.94 K
2024-06-05 23:06:00,1.87 K,1.79 K,2.01 K
2024-06-05 23:07:00,1.30 K,1.28 K,282
2024-06-05 23:08:00,1.31 K,1.35 K,1.43 K
2024-06-05 23:09:00,1.30 K,1.18 K,1.41 K
2024-06-05 23:10:00,1.31 K,1.29 K,1.51 K
2024-06-05 23:11:00,1.30 K,1.21 K,1.42 K
2024-06-05 23:12:00,1.31 K,1.16 K,1.76 K
2024-06-05 23:13:00,2.29 K,2.31 K,2.88 K
2024-06-05 23:14:00,2.45 K,2.41 K,2.93 K
